company_id,company_name
1,PPD GLOBAL LTD
2,AL Solutions
3,Seltek Consultants Ltd
4,Docs International UK Limited
5,Hyper Recruitment Solutions Ltd
6,BCF Recruitment Ltd
7,Austin Fraser
8,Iqvia Ltd.
9,Barrington James Ltd
10,Skills Alliance (Pharma) Limited
11,Novella Clinical Resourcing
12,NonStop Recruitment
13,CW Recruitment Specialists Ltd
14,EF Medical
15,Kirkham Young Ltd
16,CK Clinical
17,Hays Life Sciences
18,0203 8757550
19,Evolve Selection Limited
20,Optimus Life Sciences
21,Axess Ltd
22,IQVIA-Talent Management Centre
23,i-Pharm Consulting Ltd
24,RBW Consulting Solutions Ltd
25,CROS NT Limited
26,Kleboe Jardine Ltd
27,BMS Performance
28,Ashfield
29,S E C Recruitment Limited
30,Key People Limited
31,MSI Group Limited
32,Silchester Associates Ltd
33,Clinical Professionals
34,ID Search and Selection Ltd
35,ProClinical Ltd
36,Ortho Executive Limited
37,Monster
38,Blackfield Associates
39,Chemistree Solutions Ltd
40,Kinetica (UK) Ltd
41,CHASE Search & Selection Limited
42,G2 Clinical & Professional Resourcing
43,Bard Limited
44,Umbilical Life
45,Zest Business Group Limited
46,Synexus Limited
47,Pentland House
48,Kelly Services
49,X4 Group Ltd
50,Syneos Health
51,Zenopa Ltd
52,Blue Pelican Limited
53,Advanced Clinical Recruitment Limited
54,Ascott Blake Ltd
55,TRS Consulting
56,Talentmark Resourcing Solutions
57,Only Clinical Ltd
58,Expion
59,Projectus Ltd
60,Covance
61,Seven Life Sciences
62,Popscience Limited
63,Fisher Clinical Services Uk Limited
64,Allegis Group Limited
65,Becton Dickinson
66,40 Recruitment Limited
67,Xcellin Ltd
68,U.K.
69,Advance Recruitment
70,Elevate Platform Limited
71,Planet Pharma Staffing Limited
72,Andy Fish
73,Vifor (International) AG
74,sugarman Health & Wellbeing
75,Consult Search & Selection Ltd
76,Bausch & Lomb U.K. Limited
77,Gold Group Limited
78,Harris Lord Recruitment Limited
79,Remtec Search and Selection
80,Star
81,Sapling Recruitment Ltd
82,North-51 Ltd
83,Apodi
84,Cardinal Health U.K. 432 Limited
85,Discover People International Limited
86,Workvine Limited
87,Xplore Pharma Ltd
88,The Vacancy Management Company
89,Employment Solutions Limited
90,Michael Bailey Associates Limited
91,Sci Pro
92,Fairfax Management Consultants Limited
93,C.K. Associates Limited (Branded)
94,Publicis Health
95,CSG.
96,Alliance Healthcare
97,Delta Consultants
98,Ark Talent Group Limited
99,Alcon
100,Vedra Med Tech
101,Real Resourcing
102,Fresh Connect (Recruitment Consultants) Limited
103,UK
104,Premier Research Group Limited
105,OPEN Health
106,Volt Europe Limited
107,Stroud Resourcing
108,Havas Life Medicom
109,BBI Group
110,Vantage Recruitment Solutions Limited
111,JCW Search Ltd
112,Novo Nordisk Ltd
113,Helix Recruitment Ltd
114,Warman O'Brien Ltd
115,Evidencia Scientific Search & Selec. Ltd
116,Prentice associates
117,Square One Resources Limited
118,Creo Medical Limited
119,Sanofi
120,Pharmerit Limited
121,Reckitt Benckiser Plc
122,Morgan Prestwich Recruitment Limited
123,Health Care People Ltd
124,Sciterion
125,Hydrogen International Ltd
126,.
127,Wentworth Pharmaceutical
128,Novartis Ireland Ltd
129,Execupharm Uk Limited
130,Intercept Pharma Europe Ltd
131,Personalwerk Media GmbH & Co. KG
132,Adaptimmune Limited
133,Alexander Mann Solutions
134,IQVIA
135,40 Recruitment Ltd -Branded
136,Guided Solutions Ltd
137,G2 Clinical &amp; Professional Resourcing
138,CHASE Search &amp; Selection Limited
139,Charterhouse Recruitment
140,Evidencia Scientific Search &amp; Selec. Ltd
141,G&amp;J Lee Recruitment
142,Ukpharm Limited
143,Consult Search &amp; Selection Ltd
144,Quotient Sciences
145,Bausch &amp; Lomb U.K. Limited
146,sugarman Health &amp; Wellbeing
147,Regeneron
148,Vivid
149,Just Recruit
150,Personalwerk Media GmbH &amp; Co. KG
151,TFX Group
152,Medicareplus International Ltd
153,AllPharma Recruitment
154,Broadbean Technology Limited (Essity)
155,M̦lnlycke Health Care
156,Swift Selection
157,Chameleon Communications Ltd
158,PRA Health Sciences
159,G&J Lee Recruitment
160,GSK
161,De Smit Medical Systems Limited
162,LKP Solutions Ltd
163,Danone
164,Covance Clinical Services Ltd
165,
